number,title,date,winner,main_challenge,season
6,"Float Your Boat",2012-03-0,Willam,"Create and wear a parade float based on a color of the pride flag.",4
7,"Dragazines",2012-03-1,Phi Phi O'Hara,"Create a magazine cover",4
8,"Frenemies",2012-03-1,Latrice Royale and Willam,"Live singing duet; the six remaining contestants were paired into three teams (duets) and sing So Much Better Than You",4
9,"Frock the Vote!",2012-03-2,Sharon Needles,"Participate in a Presidential debate as the 2012 Wig Party candidate",4
10,"DILFs: Dads I'd Like to Frock",2012-04-0,Phi Phi O'Hara,"Turn a DILF into a pregnant drag diva.",4
11,"The Fabulous Bitch Ball",2012-04-0,Sharon Needles,"Design three outfits for the runway in the categories: Daytime Dog Park, Pooch in a Purse and Canine Couture, an outfit inspired by an actual dog.",4
12,"RuPaul Rewind",2012-04-1,None,None,4
13,"The Final Three",2012-04-2,None,"Shoot the music video for RuPaul's Glamazon with a dramatic scene",4
14,"Reunited",2012-04-3,None,None,4
1,"RuPaullywood or Bust",2013-01-2,Roxxxy Andrews,"Going dumpster diving to make a dress that brings out Hollywood realness and glamor",5
2,"Lip Synch Extravaganza Eleganza",2013-02-0,Lineysha Sparx,"Lip synch and re-enact a famous scene from a past season of RuPaul's Drag Race Untucked",5
3,"Draggle Rock",2013-02-1,Detox,"Split into two teams and star in children's TV Shows",5
4,"Black Swan: Why It Gotta Be Black?",2013-02-1,Alyssa Edwards,"Divide into two teams each tasked with performing a different act of a ballet about RuPaul's life",5
5,"Snatch Game",2013-02-2,Jinkx Monsoon,"Celebrity impersonations in a Match Game-style setting (Snatch Game)",5
6,"Can I Get An Amen?",2013-03-0,Ivy Winters,"Record a We Are the World-inspired anthem entitled Can I Get An Amen?",5
7,"RuPaul Roast",2013-03-1,Coco Montrese,"Roast RuPaul, as well as the judges and fellow queens, in front of a live audience",5
8,"Scent of a Drag Queen",2013-03-1,Alaska,"Create, market, and film a commercial for a signature fragrance",5
9,"Drama Queens",2013-04-0,Jinkx Monsoon,"Star in a faux Latin telenovela alongside Wilmer Valderrama",5
10,"Super Troopers",2013-04-0,Roxxxy Andrews,"Military-to-drag makeover/color guard performance",5
11,"Sugar Ball",2013-04-1,Alaska,"Design three outfits for the Sugar Ball: Super Duper Sweet 16, Sugar Mama – Executive Realness, and Candy Couture",5
12,"The Final Three, Hunty",2013-04-2,None,"Star in RuPaul's music video The Beginning and shoot a courtroom scene",5
13,"Countdown to the Crown",2013-04-2,None,None,5
14,"Reunited!",2013-05-0,None,None,5
1,"RuPaul's Big Opening",2014-02-2,BenDeLaCreme,"Designing an outfit inspired by a TV show",6
2,"RuPaul's Big Opening Part 2",2014-03-0,Bianca Del Rio,"Designing an outfit inspired by party supplies",6
3,"Scream Queens",2014-03-1,Darienne Lake,"Star in horror film trailers for Drag Race Me to Hell",6
4,"Shade: The Rusical",2014-03-1,Courtney Act,"Performing live in the original production of Shade: The Rusical!",6
5,"Snatch Game",2014-03-2,BenDeLaCreme,"Snatch Game",6
6,"Oh No She Betta Don't!",2014-03-3,Adore Delano,"Rap battle in teams to Oh No She Betta Don't",6
7,"Glamazon by Colorevolution",2014-04-0,Adore Delano and Laganja Estranja,"Record an infomercial for Rupaul's Glamazon cosmetics",6
8,"Drag Queens of Comedy",2014-04-0,Bianca Del Rio,"Performing a stand-up comedy act in front of a live audience",6
9,"Drag Queens of Talk",2014-04-1,Courtney Act,"Guest hosting The RuPaul Show and interviewing celebrity guests",6
10,"Drag My Wedding",2014-04-2,Bianca Del Rio,"Transform grooms into brides for a wedding",6
11,"Glitter Ball",2014-04-2,Adore Delano,"Design three outfits for the Glitter Ball: Banjee Girl Bling, Platinum Card Executive Realness, and Dripping in Jewels Eleganza",6
12,"Sissy That Walk!",2014-05-0,None,"Starring in RuPaul's music video Sissy That Walk as well as in two acting scenes",6
13,"Countdown to the Crown",2014-05-1,None,None,6
14,"Reunited!",2014-05-1,None,None,6
1,"Born Naked",2015-03-0,Violet Chachki,"Create a resort-wear tearaway to reveal a nude illusion.",7
2,"Glamazonian Airways",2015-03-0,Ginger Minj,"Perform a mash-up of spoken word and song for a pre-flight safety video for Glamazonian Airways.",7
3,"ShakesQueer",2015-03-1,Max,"The queens Hamlet it up in two twisted Shakespeare classics: MacBitch and Romy and Juliet",7
4,"Spoof! (There It Is)",2015-03-2,Kennedy Davenport,"Create a music video parody by writing lyrics, doing vocals, and shoot a music video to one of RuPauls' songs.",7
5,"The DESPY Awards",2015-03-3,Max and Pearl,"Come up with funny banter and take jabs at the other queens while presenting awards for different categories at the first ever DESPY Awards.",7
6,"Ru Hollywood Stories",2015-04-0,Katya,"Reenact Whatever Happened to Merle Ginsberg from the point of view of Merle, RuPaul and Michelle Visage.",7
7,"Snatch Game",2015-04-1,Kennedy Davenport and Ginger Minj,"Snatch Game",7
8,"Conjoined Queens",2015-04-2,Pearl,"Create a conjoined twin makeover with a previously eliminated queen.",7
9,"Divine Inspiration",2015-04-2,Ginger Minj,"Musical versions of John Waters' most iconic films.",7
10,"Prancing Queens",2015-05-0,Katya and Violet Chachki,"Dancing in a live drag dance spectacular.[19]",7
11,"Hello, Kitty Girls!",2015-05-1,Violet Chachki,"Create looks inspired by Hello Kitty and a new best friend for Hello Kitty",7
12,"And the Rest Is Drag",2015-05-1,None,"Star in the music video for RuPaul's single Born Naked",7
13,"Countdown to the Crown",2015-05-2,None,None,7
14,"Grand Finale",2015-06-0,None,None,7
1,"Keeping it 100!",2016-03-0,Kim Chi,"Create an outfit based on a design challenge from seasons past",8
2,"Bitch Perfect",2016-03-1,Chi Chi DeVayne,"Perform in a collegiate a cappella sing-off called Bitch Perfect",8
3,"RuCo's Empire",2016-03-2,Bob The Drag Queen,"Star in two Empire-inspired acting scenes",8
4,"New Wave Queens",2016-03-2,Robbie Turner,"Sing live in ‘80s style New Wave girl bands",8
5,"Supermodel Snatch Game",2016-04-0,Bob The Drag Queen,"Impersonate celebrities in the Snatch Game",8
6,"Wizards of Drag",2016-04-1,Naomi Smalls,"Give Wizard of Oz-themed makeovers to cast members of Little Women L.A.",8
7,"Shady Politics",2016-04-1,Bob the Drag Queen and Derrick Barry,"Work in pairs to shoot presidential campaign ads to smear their partner and stake their claim to be the first drag President of the U.S.A.",8
8,"RuPaul Book Ball",2016-04-2,Kim Chi,"Design three outfits for the Book Ball, Baby Drag Realness, That's My Mama Realness and Book Couture, and perform a musical tribute to Jerri Blank from Strangers With Candy",8
9,"The Realness",2016-05-0,None,"Star in the music video for RuPaul's single The Realness",8
10,"Grand Finale",2016-05-1,None,None,8
1,"Oh. My. Gaga![4]",2017-03-2,Nina Bo'nina Brown,"Showcase a hometown styled outfit and a Lady Gaga-inspired outfit in the Miss Charisma Uniqueness Nerve and Talent pageant.",9
2,"She Done Already Done Brought It On[5]",2017-03-3,Valentina,"Compete in a cheerleading battle",9
3,"Draggily Ever After[6]",2017-04-0,Trinity Taylor,"Create an original fairytale princess with a sidekick",9
4,"Good Morning Bitches[7]",2017-04-1,Sasha Velour and Shea Couleé,"Produce a live morning talk show",9
5,"Reality Stars: The Musical[8]",2017-04-2,Shea Couleé,"Star in Kardashian: The Musical",9
6,"Snatch Game[9]",2017-04-2,Alexis Michelle,"Impersonate celebrities in the Snatch Game",9
7,"9021-HO[10]",2017-05-0,Trinity Taylor,"Act in a classic 90's high-school drama",9
8,"RuPaul Roast[11]",2017-05-1,Peppermint,"Perform a comedy roast of Michelle Visage in front of a live audience",9
9,"Your Pilot's On Fire[12]",2017-05-1,Sasha Velour and Shea Couleé,"Create, write, and star in their own TV pilots",9
10,"Makeovers: Crew Better Work[13]",2017-05-2,Trinity Taylor,"Makeover members of the Drag Race crew and prepare a lip sync performance to RuPaul's Song Click Clack.",9
11,"Gayest Ball Ever[14]",2017-06-0,Shea Couleé,"Compete in a queer culture pageant, design outfits for three different categories - Rainbow-She-Better-Do, Sexy Unicorn, and Village People Eleganza Extravaganza, and create their own gymnastics routine",9
12,"Category Is[15]",2017-06-0,None,"Write and record a verse for the remix of Category Is and guest star on RuPaul's podcast What's the Tee?",9
13,"Reunited[16]",2017-06-1,None,None,9
14,"Grand Finale[4]",2017-06-2,None,None,9
1,"10s Across the Board[25]",2018-03-2,Mayhem Miller,"Construct a runway outfit from miscellaneous items found at a variety store",10
2,"PharmaRusical[25]",2018-03-2,The Vixen,"Perform in PharmaRusical",10
3,"Tap That App[25]",2018-04-0,Asia O'Hara,"Film ads for new dating apps",10
4,"The Last Ball on Earth[25]",2018-04-1,Aquaria,"Create three looks based on climate change; Alaskan Winter Realness, Miami Summer Realness, and Martian Eleganza Extravaganza",10
5,"The Bossy Rossy Show[25]",2018-04-1,Eureka,"Working in pairs, improvise in the new day-time talk show Bossy Rossy",10
6,"Drag Con Panel Extravaganza[25]",2018-04-2,Eureka,"In teams, create and produce RuPaul's DragCon panels on hair, face, and body in front of a live audience.",10
7,"Snatch Game[25]",2018-05-0,Aquaria,"Impersonate celebrities in the annual comedy challenge of Snatch Game",10
8,"The Unauthorized Rusical[25]",2018-05-1,Kameron Michaels,"Sing live in Cher: The Unauthorized Rusical",10
9,"Breastworld[25]",2018-05-1,Asia O'Hara,"The queens must act in the new hit series, Breastworld",10
10,"Social Media Kings Into Queens[25]",2018-05-2,Miz Cracker,"Give drag makeovers to social media superstars",10
11,"Evil Twins[25]",2018-06-0,Aquaria,"Present two characters on the runway: best self and evil twin",10
12,"American[25]",2018-06-1,None,"Write, record, and perform their own verse to RuPaul's song American and guest star on the What's the Tee? podcast with Michelle Visage",10
13,"Queens Reunited[25]",2018-06-2,None,None,10
14,"Grand Finale[25]",2018-06-2,None,None,10
1,"Whatcha Unpackin?",2019-02-2,Brooke Lynn Hytes,"Create signature looks from materials belonging to former “RuPaul's Drag Race” legends.",11
2,"Good God Girl, Get Out",2019-03-0,Scarlet Envy and Yvie Oddly,"Perform in drag film adaptations of Black Panther and Get Out",11
3,"Diva Worship",2019-03-1,Nina West,"Star in a she-vangelical talk show worshiping a diva",11
4,"Trump: The Rusical",2019-03-2,Silky Nutmeg Ganache,"Star in Trump: The Rusical",11
5,"Monster Ball",2019-03-2,Brooke Lynn Hytes,"Create three looks based on Halloween; Trampy Trick or Treater, Witch Please!, and MILF Eleganza",11
6,"The Draglympics",2019-04-0,A'Keria C. Davenport,"Perform in a free-style floor program which includes Fanography, Voguing and Shablam",11
7,"From Farm to Runway",2019-04-1,Plastique Tiara,"Create a high fashion look made from organic materials to model on the runway",11
8,"Snatch Game at Sea",2019-04-1,Silky Nutmeg Ganache,"Snatch Game at Sea",11
9,"L.A.D.P.!",2019-04-2,A'Keria C. Davenport,"Perform in an improv comedy policy sketch for the hit TV series Los Angeles Drag Patrol (L.A.D.P.)",11
10,"Dragracadabra",2019-05-0,Nina West,"In teams, perform a magic show in front of a live audience.",11
11,"Bring Back My Queens!",2019-05-0,Brooke Lynn Hytes,"Makeover the eliminated queens into members of their own drag families",11
12,"Queens Everywhere",2019-05-1,None,"Write, record, and perform their own verse to RuPaul's song Queens Everywhere and guest star on the What's the Tee? podcast with Michelle Visage",11
13,"Reunited",2019-05-2,None,None,11
14,"Grand Finale",2019-05-3,None,None,11
1,"I'm That Bitch",2020-02-2,Widow Von'Du,"Write and record an original rap verse to I'm That Bitch and choreograph a routine to be performed live on the main stage.",12
2,"You Don't Know Me",2020-03-0,Jaida Essence Hall,"Write and record an original Fosse-inspired jazz number.",12
3,"World's Worst",2020-03-1,Sherry Pie,"Improv in a talent competition, called World's Worst",12
4,"The Ball Ball",2020-03-2,Gigi Goode,"Create three looks based on Sports Balls; Lady Baller, Basketball Wife Realness, and Balls to the Wall Eleganza",12
5,"Gay's Anatomy",2020-03-2,Sherry Pie,"Overact in Gay's Anatomy, a parody of the popular TV show Grey's Anatomy, which focuses on a group of young doctors that work in a hospital.",12
6,"Snatch Game",2020-04-0,Gigi Goode,"Snatch Game",12
7,"Madonna: The Unauthorized Rusical",2020-04-1,Gigi Goode,"Madonna: The Unauthorized Rusical",12
8,"Droop",2020-04-1,Heidi N Closet,"Create and market products for the new drag queen lifestyle brand Droop",12
9,"Choices 2020",2020-04-2,Jaida Essence Hall,"Argue in a presidential debate called Choices 2020",12
10,"Superfan Makeover",2020-05-0,Jaida Essence Hall,"Give Drag Race superfans a drag makeover",12
11,"One-Queen Show",2020-05-0,Crystal Methyd,"The queens must create and perform their own solo show.",12
12,"Viva Drag Vegas",2020-05-1,Gigi Goode,"The queens must perform a medley of songs from Rupaul's Drag Race Live!, a show on the Las Vegas strip.",12
13,"Alone Together",2020-05-2,None,None,12
14,"Grand Finale",2020-05-2,None,None,12
1,"The Pork Chop",2021-01-0,None,"The queens face off in Lip Sync For Your Life battles.",13
2,"Condragulations",2021-01-0,Symone,"Write original lyrics to and perform them to RuPaul's Condragulations",13
3,"Phenomenon",2021-01-1,Denali,"Write original lyrics to and perform them to RuPaul's Phenomenon",13
4,"RuPaulmark Channel",2021-01-2,Symone,"Act in cheezy holiday movies",13
5,"The Bag Ball",2021-01-2,Gottmik,"The Bag Ball",13
6,"Disco-mentary",2021-02-0,Olivia Lux,"Disco-themed dance documentary",13
7,"Bossy Rossy: The RuBoot",2021-02-1,Olivia Lux,"Bossy Rossy After Dark",13
8,"Social Media: The Unverified Rusical",2021-02-1,Rosé,"Social Media: The Unverified Rusical",13
9,"Snatch Game",2021-03-0,Gottmik,"Snatch Game",13
10,"Freaky Friday Queens",2021-03-1,Symone and Utica Queen,"Turn your partner into your drag doppelganger",13
11,"Pop! Goes The Queens",2021-03-1,Rosé and Symone,"Create and brand your own soft drink and promote it in a 45-second commercial",13
12,"Nice Queens Roast",2021-03-2,Kandy Muse,"Roast previous Miss Congenialities Heidi N Closet, Nina West and Valentina",13
13,"Henny, I Shrunk The Drag Queens!",2021-04-0,Rosé,"Star in the new sci-fi adventure Henny, I Shrunk The Drag Queens!",13
14,"Gettin' Lucky!",2021-04-0,None,"Write, record and perform their own versus to RuPaul's song Lucky",13
15,"Reunited",2021-04-1,None,None,13
16,"Grand Finale",2021-04-2,None,None,13
